Match,Day,Date,IST,team_1,team_2,pitch_type,venue,team_1_win_prob,team_2_win_prob,Result
20,Tue,6-Oct,7:30PM,Mumbai,Rajasthan,tropical,Abu Dhabi,0.720831,0.279169,Mumbai
21,Wed,7-Oct,7:30PM,Kolkata,CSK,tropical,Abu Dhabi,0.373159,0.626841,CSK
22,Thu,8-Oct,7:30PM,Hyderabad,Punjab,dry,Dubai,0.429113,0.570887,Punjab
23,Fri,9-Oct,7:30PM,Rajasthan,Delhi,hot,Sharjah,0.304231,0.695769,Delhi
24,Sat,10-Oct,3:30PM,Punjab,Kolkata,tropical,Abu Dhabi,0.39648,0.60352,Kolkata
25,Sat,10-Oct,7:30PM,CSK,RCB,dry,Dubai,0.398331,0.601669,RCB
26,Sun,11-Oct,3:30PM,Hyderabad,Rajasthan,dry,Dubai,0.449811,0.550189,Rajasthan
27,Sun,11-Oct,7:30PM,Mumbai,Delhi,tropical,Abu Dhabi,0.582895,0.417105,Mumbai
28,Mon,12-Oct,7:30PM,RCB,Kolkata,hot,Sharjah,0.572284,0.427716,RCB
29,Tue,13-Oct,7:30PM,Hyderabad,CSK,dry,Dubai,0.310521,0.689479,CSK
30,Wed,14-Oct,7:30PM,Delhi,Rajasthan,dry,Dubai,0.598833,0.401167,Delhi
31,Thu,15-Oct,7:30PM,RCB,Punjab,hot,Sharjah,0.621993,0.378007,RCB
32,Fri,16-Oct,7:30PM,Mumbai,Kolkata,tropical,Abu Dhabi,0.658746,0.341254,Mumbai
33,Sat,17-Oct,3:30PM,Rajasthan,RCB,dry,Dubai,0.267239,0.732761,RCB
34,Sat,17-Oct,7:30PM,Delhi,CSK,hot,Sharjah,0.451244,0.548756,CSK
35,Sun,18-Oct,3:30PM,Hyderabad,Kolkata,tropical,Abu Dhabi,0.379349,0.620651,Kolkata
36,Sun,18-Oct,7:30PM,Mumbai,Punjab,dry,Dubai,0.703611,0.296389,Mumbai
37,Mon,19-Oct,7:30PM,CSK,Rajasthan,tropical,Abu Dhabi,0.594582,0.405418,CSK
38,Tue,20-Oct,7:30PM,Punjab,Delhi,dry,Dubai,0.322306,0.677694,Delhi
39,Wed,21-Oct,7:30PM,Kolkata,RCB,tropical,Abu Dhabi,0.327878,0.672122,RCB
40,Thu,22-Oct,7:30PM,Rajasthan,Hyderabad,dry,Dubai,0.443939,0.556061,Hyderabad
41,Fri,23-Oct,7:30PM,CSK,Mumbai,hot,Sharjah,0.314544,0.685456,Mumbai
42,Sat,24-Oct,3:30PM,Kolkata,Delhi,tropical,Abu Dhabi,0.369036,0.630964,Delhi
43,Sat,24-Oct,7:30PM,Punjab,Hyderabad,dry,Dubai,0.464769,0.535231,Hyderabad
44,Sun,25-Oct,3:30PM,RCB,CSK,dry,Dubai,0.49645,0.50355,CSK
45,Sun,25-Oct,7:30PM,Rajasthan,Mumbai,tropical,Abu Dhabi,0.201779,0.798221,Mumbai
46,Mon,26-Oct,7:30PM,Kolkata,Punjab,hot,Sharjah,0.498382,0.501618,Punjab
47,Tue,27-Oct,7:30PM,Hyderabad,Delhi,dry,Dubai,0.306751,0.693249,Delhi
48,Wed,28-Oct,7:30PM,Mumbai,RCB,tropical,Abu Dhabi,0.538231,0.461769,Mumbai
49,Thu,29-Oct,7:30PM,CSK,Kolkata,dry,Dubai,0.522999,0.477001,CSK
50,Fri,30-Oct,7:30PM,Punjab,Rajasthan,tropical,Abu Dhabi,0.467725,0.532275,Rajasthan
51,Sat,31-Oct,3:30PM,Delhi,Mumbai,dry,Dubai,0.318365,0.681635,Mumbai
52,Sat,31-Oct,7:30PM,RCB,Hyderabad,hot,Sharjah,0.638803,0.361197,RCB
53,Sun,1-Nov,3:30PM,CSK,Punjab,tropical,Abu Dhabi,0.574175,0.425825,CSK
54,Sun,1-Nov,7:30PM,Kolkata,Rajasthan,dry,Dubai,0.519381,0.480619,Kolkata
55,Mon,2-Nov,7:30PM,Delhi,RCB,tropical,Abu Dhabi,0.402572,0.597428,RCB
56,Tue,3-Nov,7:30PM,Hyderabad,Mumbai,hot,Sharjah,0.203699,0.796301,Mumbai
